204.6,672.1,1177.4,855.1,
180.3,664.6,1190.6,838.9,
191.7,682.9,1251.2,837.6,
198.4,670.5,1190.3,846.7,
196.9,681.2,1216.7,839.5,
189.0,659.8,1192.9,840.0,
198.8,643.5,1186.7,856.4,
190.2,662.9,1183.6,840.4,
186.2,671.0,1170.2,847.0,
193.7,684.0,1177.6,868.9,
186.9,672.4,1209.4,843.4,
189.5,683.1,1193.8,859.0,
180.1,684.9,1170.1,855.5,
185.3,694.3,1150.9,862.2,
181.7,677.0,1169.0,851.9,
201.8,659.5,1175.5,849.1,
187.2,649.1,1203.1,826.3,
200.5,667.0,1205.2,842.8,
185.5,698.1,1214.4,839.5,
199.0,671.0,1199.6,852.4,
193.5,661.2,1182.2,840.8,
197.9,682.2,1193.9,862.0,
196.4,669.4,1197.3,862.7,
205.9,682.7,1194.5,859.8,
202.0,680.2,1162.8,861.5,
208.6,606.7,1147.0,866.8,
196.7,665.9,1167.7,856.9,
211.7,668.7,1186.8,856.9,
208.1,697.0,1205.5,876.4,
194.1,656.9,1171.6,859.5,
188.2,667.8,1187.8,834.8,
192.1,670.9,1177.8,841.8,
197.0,680.3,1215.7,861.4,
189.3,646.6,1187.8,861.6,
160.5,661.4,1225.9,886.1,
199.9,669.4,1198.7,870.0,
203.5,675.9,1202.6,868.8,
230.8,638.3,1256.9,772.1,
191.5,638.5,1254.6,861.5,
210.4,669.8,1193.3,802.8,
196.0,671.0,1207.9,836.8,
186.8,682.3,1203.9,812.1,
181.9,681.5,1213.6,872.9,
197.1,636.5,1176.5,884.9,
165.5,680.3,1171.5,834.1,
198.4,670.5,1203.3,848.1,
198.5,668.6,1196.3,855.2,
214.0,672.1,1203.5,838.4,
180.0,681.4,1201.8,870.3,
208.7,713.3,1256.6,865.0,
200.1,642.0,1135.9,831.2,
190.3,681.4,1199.5,864.9,
204.6,685.7,1169.6,874.2,
203.8,668.0,1201.8,891.0,
189.6,638.4,1187.8,863.6,
159.9,691.6,1194.1,879.6,
204.4,654.8,1201.4,858.9,
208.9,707.3,1133.7,876.1,
192.4,689.5,1177.7,877.6,
208.3,668.9,1184.9,872.6,
216.6,674.2,1207.1,856.2,
197.6,666.2,1195.1,863.0,
211.8,677.9,1192.4,854.7,
187.0,684.0,1186.8,843.0,
205.8,699.1,1214.2,842.4,
178.6,715.5,1204.9,874.3,
153.5,726.7,1140.0,915.5,
215.0,663.3,1207.5,880.3,
195.5,675.8,1111.7,792.5,
198.8,666.7,1180.7,877.0,
216.5,656.9,1174.5,878.0,
225.0,692.0,1170.5,860.4,
212.4,667.0,1196.7,895.1,
160.4,756.7,1198.0,805.5,
198.6,666.8,1199.0,870.5,
180.9,622.0,1185.6,882.3,
189.2,731.6,1236.6,793.6,
198.8,687.4,1197.4,880.2,
195.2,690.1,1200.0,833.7,
207.5,668.7,1199.8,868.2,
228.3,667.1,1184.9,869.4,
201.4,664.3,1145.9,861.6,
204.8,660.9,1213.4,867.3,
212.8,647.6,1199.9,872.2,
191.3,694.8,1191.0,846.4,
187.4,654.2,1171.0,864.6,
197.4,666.2,1146.4,893.2,
208.0,665.7,1207.9,864.4,
213.4,655.0,1201.7,875.2,
205.2,655.6,1200.5,867.8,
176.8,665.6,1190.6,856.8,
195.3,652.2,1200.1,878.9,
199.8,667.1,1174.6,856.2,
203.6,652.8,1199.0,878.6,
205.3,668.0,1202.5,848.0,
199.1,648.1,1186.6,876.7,
194.3,644.7,1180.6,873.3,
