1072.6,25.6,194.0,72.8,83.4,621.9,1072.8,657.8,234.1,24.7,
1070.5,21.5,189.7,86.7,66.3,608.9,1078.8,647.0,214.6,45.7,
1090.9,29.8,211.8,77.3,61.9,587.3,1095.9,638.5,199.9,28.7,
1095.3,31.2,204.9,79.8,53.1,598.9,1074.1,636.4,207.0,14.8,
1113.2,41.0,207.2,41.1,51.2,611.4,1057.9,622.5,186.9,5.7,
1116.6,60.0,226.7,86.0,77.0,584.3,1076.7,634.0,193.7,3.0,
1128.9,61.6,228.8,87.5,58.3,604.0,1075.5,625.0,181.8,3.4,
1134.9,82.6,223.9,97.9,72.1,608.5,1052.4,621.8,179.2,0.0,
1126.1,83.1,246.0,103.3,66.9,585.2,1050.0,613.0,178.1,5.0,
1120.6,72.7,263.5,116.7,92.2,603.9,1064.4,616.0,169.5,4.1,
1120.5,72.3,251.0,140.9,103.7,620.8,1090.7,626.9,162.8,4.1,
1124.9,70.1,256.9,129.3,113.9,634.5,1089.8,624.6,180.0,4.1,
1112.2,64.2,243.9,123.2,121.2,636.2,1091.1,613.2,177.1,5.0,
1111.6,71.3,250.0,134.9,116.7,645.5,1105.0,623.4,158.6,8.4,
1098.3,68.0,243.4,131.3,120.6,643.4,1115.3,650.1,174.9,0.7,
1107.9,55.9,231.1,144.6,115.4,652.2,1117.0,658.7,194.3,9.2,
1111.7,49.7,235.8,130.6,113.0,649.7,1123.2,682.6,208.8,2.5,
1103.3,56.8,239.6,124.7,118.5,647.9,1132.0,671.0,222.3,6.3,
1104.3,59.4,241.6,129.3,105.8,639.0,1122.5,675.4,224.5,17.0,
1097.3,59.4,240.3,105.4,120.8,671.7,1135.7,681.4,238.1,23.8,
1110.3,50.6,272.4,117.6,94.6,648.5,1135.8,638.3,234.9,35.3,
1105.2,56.1,229.8,120.0,104.3,637.5,1112.0,668.4,235.6,23.9,
1111.9,58.0,232.1,131.8,108.2,656.8,1119.2,673.9,219.5,30.2,
1101.9,56.5,235.7,126.3,103.8,641.6,1105.1,660.5,218.5,24.5,
1110.0,64.7,232.8,115.2,104.4,630.4,1098.8,661.2,220.0,24.8,
1119.4,67.5,244.1,115.2,116.3,627.7,1111.3,657.3,212.4,23.4,
1123.1,62.4,245.6,116.4,104.3,628.0,1106.2,652.4,212.3,19.0,
1132.6,70.3,252.7,104.9,99.9,627.4,1110.1,669.8,227.0,11.6,
1146.8,70.9,249.8,115.2,85.0,630.7,1099.2,664.4,196.8,15.6,
1150.1,99.3,246.0,129.2,160.0,658.4,1124.7,666.1,208.3,7.3,
1159.9,91.2,264.7,115.8,121.5,642.1,1112.4,652.5,203.5,10.4,
1184.4,110.7,267.0,129.1,103.4,640.7,1112.2,659.7,210.9,4.0,
1179.4,111.8,273.8,130.6,108.2,646.8,1107.5,653.7,214.6,7.4,
1154.4,131.4,285.5,149.2,124.1,655.2,1091.1,644.8,198.9,10.8,
1156.2,115.5,293.1,161.0,136.4,658.6,1131.6,665.8,205.1,3.4,
1149.9,111.6,313.9,166.7,136.9,661.7,1105.4,667.9,211.3,7.9,
1152.7,98.4,280.4,184.8,147.0,664.2,1115.9,669.5,224.9,9.3,
1145.2,95.6,275.5,183.6,153.9,667.7,1113.7,677.4,217.0,9.0,
1154.2,90.3,272.9,140.9,169.7,676.2,1134.0,671.5,219.4,5.9,
