620.5,59.2,751.6,384.4,301.2,597.7,585.8,1138.2,520.2,
624.5,50.9,782.3,377.6,288.0,598.3,576.1,1140.6,517.5,
612.7,48.2,775.8,380.3,297.0,604.3,581.3,1139.4,509.4,
617.0,50.5,780.8,378.1,300.2,602.2,588.5,1144.0,510.7,
622.1,54.4,776.3,381.6,302.0,600.0,584.5,1134.4,512.4,
625.6,46.9,779.1,372.9,305.6,605.4,583.5,1143.1,518.1,
607.1,45.2,785.7,382.0,301.7,606.0,578.3,1136.1,514.4,
605.4,53.8,787.2,377.0,310.9,600.4,585.3,1140.5,514.4,
602.8,50.6,787.4,375.8,310.1,602.7,581.6,1146.7,523.5,
603.8,52.8,783.0,375.6,306.7,604.9,585.1,1134.9,514.0,
590.6,57.5,782.5,388.6,307.9,602.1,583.8,1143.5,518.3,
606.6,54.9,778.8,380.6,309.7,608.3,581.2,1134.7,512.6,
592.6,53.3,788.3,374.4,307.4,601.0,580.9,1143.5,511.6,
601.3,60.4,783.9,378.6,308.7,608.0,580.9,1140.4,513.8,
604.2,63.2,786.8,382.1,304.9,601.4,581.3,1139.8,513.4,
605.8,50.8,796.1,384.6,311.4,604.5,582.3,1137.5,517.6,
603.0,47.5,786.6,384.8,308.7,604.0,585.7,1134.5,511.8,
605.8,61.3,788.8,380.0,307.3,604.4,585.5,1136.4,516.2,
597.8,53.4,789.7,383.7,307.8,609.4,581.8,1136.8,510.6,
601.3,62.8,788.4,384.2,309.2,607.1,578.9,1137.8,515.9,
601.1,63.1,796.9,387.4,315.1,605.3,585.0,1137.3,510.4,
604.3,52.1,786.2,383.7,308.9,605.3,580.5,1134.5,523.3,
605.5,54.2,789.5,385.9,309.0,601.8,577.0,1135.0,510.7,
604.0,53.4,786.6,384.3,309.1,608.3,573.9,1136.9,508.6,
600.8,58.9,789.8,385.3,310.5,606.6,579.1,1140.1,510.1,
611.8,58.7,790.8,389.5,311.5,608.8,583.4,1137.4,515.0,
